x_PS_bead,y_PS_bead,z_PS_bead
22.5568,9.32443,244.552
23.4148,6.69465,243.626
22.7072,10.2325,243.626
-83.4155,-47.8385,132.613
-83.5878,-47.9374,132.887
23.6506,12.5911,243.626
23.7406,10.745,244.552
23.6506,13.5346,243.626
-83.0729,-47.6421,132.068
23.5614,13.4835,242.706
23.6506,12.1194,243.626
23.6506,13.5346,243.626
23.7406,14.7698,244.552
23.6506,13.7704,243.626
23.7406,13.1125,244.552
23.7406,13.8228,244.552
23.6506,14.2422,243.626
23.7964,13.4835,242.706
23.7406,13.586,244.552
23.7406,13.8228,244.552
23.6506,14.0063,243.626
23.8865,13.7704,243.626
23.6506,13.5346,243.626
23.6506,14.0063,243.626
23.8865,14.0063,243.626
23.8865,13.7704,243.626
23.7964,13.7185,242.706
23.7406,13.8228,244.552
23.6506,14.0063,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,14.0063,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.7406,13.8228,244.552
23.7406,13.8228,244.552
23.7406,13.8228,244.552
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,14.0063,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.7406,13.8228,244.552
23.7406,13.8228,244.552
23.7964,13.9534,242.706
23.6506,14.0063,243.626
23.7406,13.8228,244.552
23.7406,13.8228,244.552
23.7964,13.9534,242.706
23.7964,13.9534,242.706
23.7964,13.9534,242.706
23.8865,14.0063,243.626
23.6506,13.7704,243.626
23.7406,13.8228,244.552
23.7406,13.8228,244.552
23.7406,13.8228,244.552
23.7406,13.8228,244.552
23.7406,14.0596,244.552
23.6506,14.0063,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,13.7704,243.626
23.6506,13.7704,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,13.7704,243.626
23.7406,13.8228,244.552
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.7406,13.8228,244.552
23.7964,13.9534,242.706
23.7964,13.9534,242.706
23.6506,14.0063,243.626
23.7406,13.8228,244.552
23.7964,13.9534,242.706
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
23.6506,14.0063,243.626
