x_of_target,y_of_target,,x_of_PS_bead,y_of_PS_bead
19.2,2.7,,20.43,2.93
19.2,4.7,,20.23,4
19.2,6.7,,20.19,6.48
19.7,7.7,,20.19,7.6
20.2,8.7,,20.5,8.7
20.7,9.7,,20.9,9.79
21.2,10.7,,21.37,10.98
21.7,10.7,,22.32,11.87
22.2,10.7,,22.7,12.24
22.7,10.7,,23.2,12.32
23.2,10.7,,23.74,11.69
23.7,10.7,,24.07,11.26
24.2,10.7,,24.45,11.22
24.7,10.7,,24.92,10.98
25.2,10.7,,25.5,11.02
25.7,10.7,,26,9.76
26.2,10.7,,26.44,9.1
26.7,9.7,,26.95,8.3
27.2,8.7,,27.1,7.5
27.7,7.7,,27.4,6.4
28.4,6.7,,27.5,5.1
28.4,4.7,,27.5,3.4
28.4,2.7,,27.5,1.5
